work_id,title,collection_id,topic_family,source_mode,chunk_count,paragraph_count,section_count,thin_band,review_class,recommended_action,heuristic_score,family_id,family_label,family_work_count,family_chunked_count,member_role,reference_signals,fragment_signals,heuristic_reasons,manifest_path
nlm-8206608,"The medical companion, or, Family physician : treating of the diseases of the United States, with their symptoms, causes, cure, and means of prevention : common cases in surgery, as fractures, dislocations, &c. : the management and diseases of women and children, a dispensatory, for preparing family medicines, and a glossary explaining technical terms : to which are added a brief anatomy and physiology of the human body, shewing, on rational principles, the cause and cure of disease : an essay on hygieine [sic], or the art of preserving health without the aid of medicine : an American materia medica , pointing out the virtues and doses of our medicinal plats ; also, the nurse's guide",nlm-digital-collections,materia-medica;domestic-medicine,,36,52,4,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,96,family-medical-companion-or-family-physician-ewell-j1-7491fc6d52,"The medical companion, or, Family physician",8,7,canonical,materia-medica;dispensatory;dictionary;manual,,severe-thin-length;multi-work-family;reference-shaped-title:materia-medica|dispensatory|dictionary|manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-8206608\manifest.json
nlm-63610060R,"A dictionary of popular medicine and hygiene : American domestic medicine and household physician : a companion for the traveler, emigrant, clergyman, and miner, as well as for the heads of all families and institutions",nlm-digital-collections,domestic-medicine;hygiene;household-health,,40,49,3,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,96,family-dictionary-of-popular-medicine-and-hygiene-lanke-d32f9e62f2,A dictionary of popular medicine and hygiene,1,1,canonical,dictionary,,severe-thin-length;reference-shaped-title:dictionary,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63610060R\manifest.json
wellcome-rt7yjjp5,"Observations on the nature and treatment of the variolous abscess, with remarks on the modern practice of inoculation, and a review of the principal writers on that important subject ... in a letter to Dr. Buchan, author of Domestic Medicine / by Peter Clare.",wellcome-collection,domestic-medicine,wellcome_text_api,69,73,1,thin,thin-fragment,manual-review,94,family-observations-on-the-nature-and-treatment-of-the--acce496a0a,"Observations on the nature and treatment of the variolous abscess, with remarks on the modern practice of inoculation, and a review of the principal writers on that important subject ... in a letter to Dr. Buchan, author of Domestic Medicine",1,1,canonical,,remarks,thin-length;single-section-shape;fragment-shaped-title:remarks,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-rt7yjjp5\manifest.json
nlm-61550430R,"A treatise on the materia medica : intended as a sequel to the pharmacopoeia of the United States : being an account of the origin, qualities and medical uses of the articles and compounds, which constitute that work, with their modes of prescription and administration",nlm-digital-collections,materia-medica;pharmacopoeia,,29,38,4,severe-thin,severe-thin-reference,keep-but-review-retrieval-weight,92,family-treatise-on-the-materia-medica-bigelow-j1-fd00eff41d,A treatise on the materia medica,1,1,canonical,materia-medica;pharmacopoeia,,severe-thin-length;reference-shaped-title:materia-medica|pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-61550430R\manifest.json
wellcome-vrrn2a38,"The farmer's materia medica ; containing a list of the most useful medicinal vegetables indigenous to the United States, with their qualities. With an appendix, containing some observations on fevers, and symptoms of various diseases, together with many other remarks and observations.",wellcome-collection,materia-medica,wellcome_text_api,99,101,1,thin,thin-fragment,review-family-supplement-weight,92,family-farmers-materia-medica-merwin-jc-b2227cecd0,The farmer's materia medica,2,2,copy,materia-medica,appendix,thin-length;single-section-shape;fragment-shaped-title:appendix;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-vrrn2a38\manifest.json
wellcome-e4ydzncj,"Every man's doctor, or, Family guide to health : containing a condensed description of the various causes and symptoms of diseases : with an appendix showing the medical properties of the most valuable roots and herbs : to which is added 150 recipes.",wellcome-collection,herbal;domestic-medicine,,121,121,1,thin,thin-fragment,review-family-supplement-weight,92,family-every-mans-doctor-or-family-guide-to-health-unkn-0be59bc680,"Every man's doctor, or, Family guide to health",2,2,canonical,manual,appendix,thin-length;single-section-shape;fragment-shaped-title:appendix;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-e4ydzncj\manifest.json
nlm-63580590R,The household monitor of health,nlm-digital-collections,hygiene;household-health,,46,58,1,thin,thin-general,manual-review,80,family-household-monitor-of-health-kellogg-jh1-a8187f974c,The household monitor of health,2,1,canonical,,,thin-length;single-section-shape;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63580590R\manifest.json
nlm-07221340R,Optimistic medicine : or the early treatment of simple problems rather than the late treatment of serious problems,nlm-digital-collections,herbal;hygiene,,49,53,1,thin,thin-general,manual-review,80,family-optimistic-medicine-crandall-ag1-1367067ba9,Optimistic medicine,2,2,canonical,,,thin-length;single-section-shape;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-07221340R\manifest.json
nlm-101217227,"On the relations of the medical profession to the trade interests of the materia medica ; and, A note on pepsin",nlm-digital-collections,materia-medica,,55,58,1,thin,thin-fragment,keep-but-review-retrieval-weight,80,family-on-the-relations-of-the-medical-profession-to-th-543202d10c,On the relations of the medical profession to the trade interests of the materia medica,1,1,canonical,materia-medica,note,thin-length;single-section-shape;fragment-shaped-title:note;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101217227\manifest.json
nlm-0027427,Report on the new or fifth decennial revision of the United States Pharmacopoeia to the Medical Society of the State of New York,nlm-digital-collections,pharmacopoeia,,64,65,1,thin,thin-fragment,keep-but-review-retrieval-weight,80,family-report-on-the-new-or-fifth-decennial-revision-of-71156f0ac5,Report on the new or fifth decennial revision of the United States Pharmacopoeia to the Medical Society of the State of New York,1,1,canonical,pharmacopoeia,report,thin-length;single-section-shape;fragment-shaped-title:report;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-0027427\manifest.json
nlm-101513942,"The family physician , or Poor man's friend, and married lady's companion : containing a great variety of valuable medical recipes, designed to assist heads of families, travellers and sea-faring people, in curing diseases ; with concise directions for the preparation, and use of a numerous collection of vegetables made use of ; and directions for preparing and administering them to cure diseases ; together with many of the most approved from the shop of the apothecary ; all in plain English",nlm-digital-collections,materia-medica;domestic-medicine,,104,123,1,thin,thin-general,manual-review,80,family-family-physician-or-poor-mans-friend-and-married-2a1b2d7594,"The family physician , or Poor man's friend, and married lady's companion",2,2,canonical,,,thin-length;single-section-shape;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101513942\manifest.json
wellcome-n8khqcy4,Medical sketches ... / by George Kerr.,wellcome-collection,herbal;materia-medica,,113,119,1,thin,thin-general,manual-review,80,family-medical-sketches-unknown-9974af44b5,Medical sketches,2,2,copy,,,thin-length;single-section-shape;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-n8khqcy4\manifest.json
wellcome-rpvs9hh8,Notes on Chinese materia medica / by Daniel Hanbury.,wellcome-collection,materia-medica,wellcome_text_api,148,148,1,thin,thin-fragment,keep-but-review-retrieval-weight,80,family-notes-on-chinese-materia-medica-unknown-550b311c7a,Notes on Chinese materia medica,1,1,canonical,materia-medica,note,thin-length;single-section-shape;fragment-shaped-title:note;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-rpvs9hh8\manifest.json
wellcome-uqs64mrs,"On a ready method of administering remedies adapted to the requirements of medical practitioners, especially those who practice in country districts, India and the colonies : containing a materia medica, adapted to the method, and comprising all the essentials of the pharmacœpia, classified formulæ etc. with an appendix containing a concise abstract of all the articles officinal in the new Indian pharmacopœia which are not officinal in the British pharmacopœia, their medical properties, use, and dose / by Edmund A. Kirby.",wellcome-collection,materia-medica,wellcome_text_api,155,155,1,thin,thin-fragment,keep-but-review-retrieval-weight,80,family-on-a-ready-method-of-administering-remedies-adap-50b83dfc05,"On a ready method of administering remedies adapted to the requirements of medical practitioners, especially those who practice in country districts, India and the colonies",1,1,canonical,materia-medica,appendix,thin-length;single-section-shape;fragment-shaped-title:appendix;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-uqs64mrs\manifest.json
nlm-25942070R,"A plain treatise on cholera : being a chapter extracted from Dr. Ralph's guide to domestic medicine , intended for the use of private individuals : showing its nature, causes and symptoms, with directions for its treatment, &c",nlm-digital-collections,domestic-medicine,,42,57,3,thin,thin-fragment,review-family-supplement-weight,74,family-plain-treatise-on-cholera-ralph-j-7012fd389d,A plain treatise on cholera,2,1,canonical,manual,extract,thin-length;fragment-shaped-title:extract;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-25942070R\manifest.json
nlm-2563040R,"The farmer's materia medica : containing a list of the most useful medicinal vegetables indigenous to the United States, with their qualities : with an appendix, containing some observations on fevers, and symptoms of various diseases, together with many other remarks and observations",nlm-digital-collections,materia-medica,,101,119,3,thin,thin-fragment,review-family-supplement-weight,74,family-farmers-materia-medica-merwin-jc-b2227cecd0,The farmer's materia medica,2,2,canonical,materia-medica,appendix,thin-length;fragment-shaped-title:appendix;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2563040R\manifest.json
nlm-2557035R,An introductory lecture on medical education : delivered at the commencement of the annual course of lectures on botany and the materia medica : published at the request of the students of medicine [in Columbia College],nlm-digital-collections,materia-medica;botany,,73,88,4,thin,thin-fragment,review-family-supplement-weight,70,family-introductory-lecture-on-medical-education-hosack-569a984fa5,An introductory lecture on medical education,2,1,canonical,botany;materia-medica,lecture,thin-length;fragment-shaped-title:lecture;multi-work-family;reference-shaped-title:botany|materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2557035R\manifest.json
nlm-2672001R,"The modern family physician : being Dr Green's treasure of health, or, cabinet of cures unlock'd ; in which all his public medicines are made known ... ; to which is prefixed, a new treatise on the various diseases incident to children",nlm-digital-collections,domestic-medicine,,42,54,1,thin,thin-general,manual-review,68,family-modern-family-physician-green-d-4e4f9808a5,The modern family physician,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2672001R\manifest.json
nlm-101232588,[Medical recipe book],nlm-digital-collections,materia-medica,,47,67,1,thin,thin-general,manual-review,68,family-medical-recipe-book-unknown-ea306c6b7c,[Medical recipe book],1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101232588\manifest.json
wellcome-zkq34khc,Culinary herbs and their cultivation / Ministry of Agriculture and Fisheries.,wellcome-collection,herbal;culinary-herbs;cultivation,,54,55,1,thin,thin-general,manual-review,68,family-culinary-herbs-and-their-cultivation-unknown-5e7f5e7d0c,Culinary herbs and their cultivation,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-zkq34khc\manifest.json
wellcome-f6acbt8h,"Um íslenzkar drykkurtir : söfnun þeirra, geymslu, nytsemi, verkanir og tilreiðslu / eptir Alexander bónda Bjarnason.",wellcome-collection,herbal,wellcome_text_api,60,60,1,thin,thin-general,manual-review,68,family-um-islenzkar-drykkurtir-unknown-f9daacb39c,Um islenzkar drykkurtir,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-f6acbt8h\manifest.json
nlm-9435889,The family physician and the farmer's companion,nlm-digital-collections,domestic-medicine,,70,103,1,thin,thin-general,manual-review,68,family-family-physician-and-the-farmers-companion-unkno-65c3080ab5,The family physician and the farmer's companion,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-9435889\manifest.json
nlm-2661106R,"Dr. Colbatch's legacy, or The family physician : containing an account of all the diseases incident to the human body : alphabetically digested",nlm-digital-collections,materia-medica;domestic-medicine,,73,92,1,thin,thin-general,manual-review,68,family-dr-colbatchs-legacy-or-the-family-physician-colb-89f4af6c84,"Dr. Colbatch's legacy, or The family physician",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2661106R\manifest.json
wellcome-fkr2f2yg,A brief treatise on various ailments and their treatment by nature's remedies.,wellcome-collection,herbal;botany,,79,82,1,thin,thin-general,manual-review,68,family-brief-treatise-on-various-ailments-and-their-tre-66f3f57560,A brief treatise on various ailments and their treatment by nature's remedies.,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-fkr2f2yg\manifest.json
wellcome-jmzkgr2j,"Reseña historico cientifica sobre el éséré, o sea, la haba del calabar / [escrita por Félix García Carrasco].",wellcome-collection,herbal;materia-medica,,79,83,1,thin,thin-general,manual-review,68,family-resena-historico-cientifica-sobre-el-esere-o-sea-371f017e9a,"Resena historico cientifica sobre el esere, o sea, la haba del calabar",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-jmzkgr2j\manifest.json
wellcome-avky2qdq,"The family doctor, or, Sick man's friend : shewing the medical properties and use of the most valuable medical roots and herbs, and how to apply them in the cure of diseases in domestic practice : from the first authority, together with many valuable recipes / by P.E. Sanborn.",wellcome-collection,herbal,wellcome_text_api,83,85,1,thin,thin-general,manual-review,68,family-family-doctor-or-sick-mans-friend-unknown-185091af81,"The family doctor, or, Sick man's friend",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-avky2qdq\manifest.json
wellcome-gkzg7j6s,The key to health! / with the compliments of the Worthing Health Food Stores.,wellcome-collection,herbal,wellcome_text_api,83,84,1,thin,thin-general,manual-review,68,family-key-to-health-unknown-036a5fba2d,The key to health!,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-gkzg7j6s\manifest.json
wellcome-nt8uhgmn,"Golden recipes for the use of all ages, the sale of this useful book known over the kingdom as golden recipe, has reached over three hundred thousand. A book that gives universal satisfaction for its invaluable information in a concise form, which saves endless expenses in every home / [By] F. Fray, copyright owner.",wellcome-collection,herbal,wellcome_text_api,85,85,1,thin,thin-general,manual-review,68,family-golden-recipes-for-the-use-of-all-ages-the-sale--a2dfb26c04,"Golden recipes for the use of all ages, the sale of this useful book known over the kingdom as golden recipe, has reached over three hundred thousand. A book that gives universal satisfaction for its invaluable information in a concise form, which saves endless expenses in every home",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-nt8uhgmn\manifest.json
wellcome-m898rxvx,Botánica médica Americana : los herbarios de las misiones del Paraguay / Pedro N. Arata.,wellcome-collection,herbal,wellcome_text_api,88,92,1,thin,thin-general,manual-review,68,family-botanica-medica-americana-unknown-05467c5df6,Botanica medica Americana,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-m898rxvx\manifest.json
wellcome-yeq2sm6p,"Experimenta de nonnullorum ranunculorum venenata qualitate, horum externo et interno usu / Caroli Krapf.",wellcome-collection,herbal;materia-medica,,91,93,1,thin,thin-general,manual-review,68,family-experimenta-de-nonnullorum-ranunculorum-venenata-b59b74f9b6,"Experimenta de nonnullorum ranunculorum venenata qualitate, horum externo et interno usu",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-yeq2sm6p\manifest.json
wellcome-ft27ckgm,"Antonii Störck ... Libellus, quo demonstratur: stramonium, hyosciamum, aconitum, non solum tuto posse exhiberi usu interno hominibus, verum et ea esse remedia in multis morbis maxime salutifera. Junguntur simul harum plantarum imagines ære excusæ / [Anton Störck].",wellcome-collection,herbal,wellcome_text_api,94,97,1,thin,thin-general,manual-review,68,family-antonii-storck-libellus-quo-demonstratur-stramon-a55ebbc4e3,"Antonii Storck ... Libellus, quo demonstratur: stramonium, hyosciamum, aconitum, non solum tuto posse exhiberi usu interno hominibus, verum et ea esse remedia in multis morbis maxime salutifera. Junguntur simul harum plantarum imagines aere excusae",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-ft27ckgm\manifest.json
wellcome-ay8228me,"Personal and household arrangements in relation to health : including hints with respect to the use of gas, gas-stoves, and of modern wall-papers / by John Angell.",wellcome-collection,hygiene;household-health,wellcome_text_api,96,98,1,thin,thin-general,manual-review,68,family-personal-and-household-arrangements-in-relation--36082613b1,Personal and household arrangements in relation to health,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-ay8228me\manifest.json
wellcome-m22n7qwt,"Virtues of British herbs : With their history, and figures, and an account of the diseases they will cure ... / By John Hill.",wellcome-collection,herbal;botany,,96,99,1,thin,thin-general,manual-review,68,family-virtues-of-british-herbs-unknown-f0898738aa,Virtues of British herbs,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-m22n7qwt\manifest.json
wellcome-f8yfv449,Sanitation and health / by R.C. Hart.,wellcome-collection,hygiene;public-health,wellcome_text_api,100,101,1,thin,thin-general,manual-review,68,family-sanitation-and-health-unknown-f4ef5601d7,Sanitation and health,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-f8yfv449\manifest.json
nlm-101250099,"The old root and herb doctor, or, the Indian method of healing",nlm-digital-collections,herbal,,107,107,1,thin,thin-general,manual-review,68,family-old-root-and-herb-doctor-or-the-indian-method-of-8e6be31f51,"The old root and herb doctor, or, the Indian method of healing",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101250099\manifest.json
wellcome-zb2578hr,"[Pamphlet advertising Cerevisia Anglicana, or, English herb diet-drink] / E. Slee & Co.",wellcome-collection,herbal,wellcome_text_api,107,109,1,thin,thin-general,manual-review,68,family-pamphlet-advertising-cerevisia-anglicana-or-engl-d0279077e0,"[Pamphlet advertising Cerevisia Anglicana, or, English herb diet-drink]",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-zb2578hr\manifest.json
nlm-64230560R,The botanic family physician : or the secret of curing diseases with vegetable proportions : also containing divers formulas or recipes,nlm-digital-collections,domestic-medicine,,115,191,1,thin,thin-general,manual-review,68,family-botanic-family-physician-sperry-l-75d532ea29,The botanic family physician,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-64230560R\manifest.json
wellcome-za7xg9ha,Fray's golden recipes for the use of all ages : a book that gives universal satisfaction for its invaluable information in a concise form.,wellcome-collection,herbal,wellcome_text_api,117,117,1,thin,thin-general,manual-review,68,family-frays-golden-recipes-for-the-use-of-all-ages-unk-92b8522652,Fray's golden recipes for the use of all ages,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-za7xg9ha\manifest.json
wellcome-z9sxe8tt,"Medical sketches on the following subjects; I. On the use of Hellebore, as a remedy for insanity and other diseases. II. Of Colchicum Autumnale, and its use in medicine. III. Observations on the sudden death of women in child-bed / by George Kerr.",wellcome-collection,herbal;materia-medica,,119,126,1,thin,thin-general,manual-review,68,family-medical-sketches-on-the-following-subjects-i-on--0c5fea3d99,"Medical sketches on the following subjects; I. On the use of Hellebore, as a remedy for insanity and other diseases. II. Of Colchicum Autumnale, and its use in medicine. III. Observations on the sudden death of women in child-bed",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-z9sxe8tt\manifest.json
wellcome-c4f73hqx,"Practical observations on the Colchicum autumnale as a general remedy of great power, in the treatment of inflammatory diseases, both acute and chronic, and therefore as a substitute for bleeding, in disorders which are connected with increased action of the heart and arteries, and as a substitute for bleeding in the treatment of inflammatory diseases / by Charles Thomas Haden.",wellcome-collection,herbal;materia-medica,,127,133,1,thin,thin-general,manual-review,68,family-practical-observations-on-the-colchicum-autumnal-b8743b6d3e,"Practical observations on the Colchicum autumnale as a general remedy of great power, in the treatment of inflammatory diseases, both acute and chronic, and therefore as a substitute for bleeding, in disorders which are connected with increased action of the heart and arteries, and as a substitute for bleeding in the treatment of inflammatory diseases",1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-c4f73hqx\manifest.json
wellcome-jh6tg6kz,On dermatology and the treatment of skin diseases by means of herbs in place of arsenic and mercury / by Samuel C. Griffith.,wellcome-collection,herbal,wellcome_text_api,133,135,1,thin,thin-general,manual-review,68,family-on-dermatology-and-the-treatment-of-skin-disease-ddba3d3838,On dermatology and the treatment of skin diseases by means of herbs in place of arsenic and mercury,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-jh6tg6kz\manifest.json
nlm-8710226,"A Boke of the propreties of herbes called an herball : wherunto is added the time ye herbes, floures and sedes shold be gathered to be kept the whole yere, wyth the vertue of ye herbes when they are stilled ; also a generall rule of all maner of herbes drawen out of an auncyent booke of phisyck",nlm-digital-collections,herbal;materia-medica,,135,141,1,thin,thin-general,manual-review,68,family-boke-of-the-propreties-of-herbes-called-an-herba-95e318633b,A Boke of the propreties of herbes called an herball,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-8710226\manifest.json
wellcome-b3938dva,Du traitement du trachome par le jequirity et la cantharidine / par Aimé Bernard.,wellcome-collection,herbal,wellcome_text_api,151,154,1,thin,thin-general,manual-review,68,family-du-traitement-du-trachome-par-le-jequirity-et-la-29d70d8242,Du traitement du trachome par le jequirity et la cantharidine,1,1,canonical,,,thin-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-b3938dva\manifest.json
nlm-64330390R,"Homoeopathic domestic physician : containing the treatment of diseases with popular explanations on anatomy, physiology, hygiene, and hydropathy, also an abridged materia medica",nlm-digital-collections,materia-medica;hygiene,,42,66,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-homoeopathic-domestic-physician-pulte-jh1-1b572da989,Homoeopathic domestic physician,19,4,edition,materia-medica,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-64330390R\manifest.json
nlm-61840770R,"Dr. John Williams' last legacy, and useful family guide",nlm-digital-collections,materia-medica,,46,56,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-dr-john-williams-last-legacy-and-useful-family-g-b679d7bce0,"Dr. John Williams' last legacy, and useful family guide",2,1,canonical,manual,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:manual,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-61840770R\manifest.json
nlm-2577018R,"Dr. John Williams' Last legacy, or, The useful family herbal",nlm-digital-collections,herbal;materia-medica,,50,58,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-dr-john-williams-last-legacy-or-the-useful-famil-577de0daa4,"Dr. John Williams' Last legacy, or, The useful family herbal",2,2,canonical,herbal,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:herbal,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2577018R\manifest.json
wellcome-tjsrfh5j,"Materia medica, therapeutics, hygiene.",wellcome-collection,materia-medica;hygiene,wellcome_text_api,53,55,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-materia-medica-therapeutics-hygiene-unknown-63c971a037,"Materia medica, therapeutics, hygiene.",2,2,canonical,materia-medica,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:materia-medica,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-tjsrfh5j\manifest.json
wellcome-hfdbnaum,Pharmacopoeia of St. Bartholomew's Hospital.,wellcome-collection,pharmacopoeia,wellcome_text_api,56,56,1,thin,thin-reference,keep-but-review-retrieval-weight,66,family-pharmacopoeia-of-st-bartholomews-hospital-unknow-0cb628be2e,Pharmacopoeia of St. Bartholomew's Hospital.,6,1,canonical,pharmacopoeia,,thin-length;single-section-shape;multi-work-family;reference-shaped-title:pharmacopoeia,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-hfdbnaum\manifest.json
